num_topics,alpha,beta,u_mass,c_v
3,asymmetric,symmetric,-1.6963009994737301,0.29413818076791753
4,0.01,0.01,-2.5579021616916613,0.2638408254879082
4,0.01,0.3,-2.313535440618206,0.2423691982874736
4,0.01,0.6,-2.3446018088919263,0.26122415917947744
4,0.01,1,-2.216645576367797,0.2605828389727362
4,0.01,symmetric,-2.2843373322871967,0.24654284884143232
4,0.3,0.01,-2.5891702832180554,0.2656360527741548
4,0.3,0.3,-2.7421583054753302,0.2620696487547315
4,0.3,0.6,-2.589627446629736,0.2680554435497508
4,0.3,1,-2.508729327663341,0.2720770620410573
4,0.3,symmetric,-2.733172740225835,0.2591861548196445
4,0.6,0.01,-2.3564887063415454,0.2544498150974481
4,0.6,0.3,-2.3221469661978613,0.24738060472468662
4,0.6,0.6,-2.3194381062366496,0.2541667295792698
4,0.6,1,-2.173682425937016,0.2576825710359366
4,0.6,symmetric,-2.253838081266673,0.24898440727405496
4,1,0.01,-2.2796385555342806,0.2450029153183084
4,1,0.3,-2.1475231867407927,0.24502045185367924
4,1,0.6,-2.144694040363906,0.2450204518536792
4,1,1,-1.9840078768218814,0.2458572945438604
4,1,symmetric,-2.1434990497825854,0.24756839883166265
4,symmetric,0.01,-2.5244754015681337,0.2627332659491859
4,symmetric,0.3,-2.6467225724097263,0.2671961554710941
4,symmetric,0.6,-2.5644944978464186,0.2623128386514163
4,symmetric,1,-2.563123431652575,0.25826279937123847
4,symmetric,symmetric,-2.754288190229633,0.2670172580332144
4,asymmetric,0.01,-2.190460560432359,0.26214477365655675
4,asymmetric,0.3,-1.7466679406695556,0.28742409392379265
4,asymmetric,0.6,-1.7720322188380409,0.30198818008758477
4,asymmetric,1,-2.1593270661229287,0.2974340479221283
4,asymmetric,symmetric,-1.8571894109016251,0.26901257698172465
5,0.01,0.01,-2.416541360308543,0.27037144230783805
5,0.01,0.3,-2.5753070535461937,0.27465527302861925
5,0.01,0.6,-2.4250540513868737,0.27642389154836644
5,0.01,1,-2.621037611826612,0.27203031664971156
5,0.01,symmetric,-2.4232262915946086,0.2754349267425008
5,0.3,0.01,-2.489986986340081,0.28901420554675167
5,0.3,0.3,-2.4259428934778393,0.27039280835810964
5,0.3,0.6,-2.540916331960614,0.26346945573086766
5,0.3,1,-2.5097482105830595,0.2720200859835659
5,0.3,symmetric,-2.4786959444478662,0.2815060927102214
5,0.6,0.01,-2.5017174062072236,0.2717852407712192
5,0.6,0.3,-2.528155484019545,0.25519570223238797
5,0.6,0.6,-2.512587216585019,0.25195778567624083
5,0.6,1,-2.423663318829442,0.25511680038606227
5,0.6,symmetric,-2.5540026836789798,0.262757236069622
5,1,0.01,-2.3735055378317873,0.2595049525432232
5,1,0.3,-2.1847413401128755,0.25458735519101405
5,1,0.6,-2.1768000868701938,0.25558326523550373
5,1,1,-2.114427153541788,0.24675226537507888
5,1,symmetric,-2.259524991253593,0.25002980261346464
5,symmetric,0.01,-2.43360163797729,0.2746871149310179
5,symmetric,0.3,-2.432959019538008,0.2671727737159615
5,symmetric,0.6,-2.490862703522055,0.27281502633578203
5,symmetric,1,-2.5433257055386416,0.27555340181819027
5,symmetric,symmetric,-2.394180141099929,0.26757356575772906
5,asymmetric,0.01,-2.4700990510570437,0.26893948763213193
5,asymmetric,0.3,-2.4658213895807486,0.2870730471141935
5,asymmetric,0.6,-2.890288469220309,0.31464545701919294
5,asymmetric,1,-3.395805255010818,0.3595639426475795
5,asymmetric,symmetric,-2.4600093003042174,0.2774388706480867
6,0.01,0.01,-2.5921621936175234,0.2788480033471675
6,0.01,0.3,-2.5392965988202767,0.28608956836298605
6,0.01,0.6,-2.4806293974986815,0.27800649270559213
6,0.01,1,-2.2225300205486462,0.26680216787838174
6,0.01,symmetric,-2.4264077250533265,0.27171332946746435
6,0.3,0.01,-2.466380924757114,0.27758607158845044
6,0.3,0.3,-2.6353541626708807,0.2901090855151901
6,0.3,0.6,-2.518424640297591,0.28723003846221556
6,0.3,1,-2.5911262889909925,0.28029074494320977
6,0.3,symmetric,-2.559858878366444,0.28258297576113645
6,0.6,0.01,-2.675428121363853,0.2683468813072174
6,0.6,0.3,-2.769768053089573,0.26685731580492117
6,0.6,0.6,-2.751694640264663,0.2648377550401803
6,0.6,1,-2.6387046960378733,0.26572055989694837
