num_topics,alpha,beta,u_mass
4,0.01,symmetric,-0.18903162062800224
4,0.3,0.01,-0.14738099932639726
4,0.3,0.3,-0.16009036178353198
4,0.3,0.6,-0.24064231103028438
4,0.3,1,-0.2771716639448484
4,0.3,symmetric,-0.16049585493841437
4,0.6,0.01,-0.14872527728367615
4,0.6,0.3,-0.15911412843520387
4,0.6,0.6,-0.24350975503065353
4,0.6,1,-0.25637397900005043
4,0.6,symmetric,-0.16005312831128118
4,1,0.01,-0.1493841921361926
4,1,0.3,-0.1806324051717644
4,1,0.6,-0.27234625173263727
4,1,1,-0.25931869538184554
4,1,symmetric,-0.18221427526556327
4,symmetric,0.01,-0.14738099932639726
4,symmetric,0.3,-0.18790015431263013
4,symmetric,0.6,-0.23937545478356198
4,symmetric,1,-0.2779692110548093
4,symmetric,symmetric,-0.16023181454964838
4,asymmetric,0.01,-0.1461382866831889
4,asymmetric,0.3,-0.16187719983907053
4,asymmetric,0.6,-0.1832819812994544
4,asymmetric,1,-0.25070623111211576
4,asymmetric,symmetric,-0.16700377806928055
5,0.01,0.01,-0.2077639672622992
5,0.01,0.3,-0.1931740238754037
5,0.01,0.6,-0.19419057549686106
5,0.01,1,-0.15950202341957526
5,0.01,symmetric,-0.22433761961515772
5,0.3,0.01,-0.20925127494924953
5,0.3,0.3,-0.19253598618743495
5,0.3,0.6,-0.18466200584588383
5,0.3,1,-0.16899841666273047
5,0.3,symmetric,-0.24161233465386314
5,0.6,0.01,-0.19656883614504544
5,0.6,0.3,-0.20911072616972648
5,0.6,0.6,-0.1858373413432101
5,0.6,1,-0.21675355826069423
5,0.6,symmetric,-0.23998012685132508
5,1,0.01,-0.19695332431840532
5,1,0.3,-0.2015217940183523
5,1,0.6,-0.1784595994881879
5,1,1,-0.20237333774361618
5,1,symmetric,-0.24507872440096312
5,symmetric,0.01,-0.20861323726128078
5,symmetric,0.3,-0.1931740238754037
5,symmetric,0.6,-0.19861470866600567
5,symmetric,1,-0.15756020792586173
5,symmetric,symmetric,-0.22397275160664698
5,asymmetric,0.01,-0.20915094844419224
5,asymmetric,0.3,-0.19544426936591056
5,asymmetric,0.6,-0.19140395090508636
5,asymmetric,1,-0.1998502589755185
5,asymmetric,symmetric,-0.19701858908510442
6,0.01,0.01,-0.15322974031223552
6,0.01,0.3,-0.27157429988255366
6,0.01,0.6,-0.21064686848167033
6,0.01,1,-0.38739126844631144
6,0.01,symmetric,-0.20699602784475737
6,0.3,0.01,-0.15737831454974288
6,0.3,0.3,-0.2647369232989318
6,0.3,0.6,-0.21186238055354745
6,0.3,1,-0.3281845028736265
6,0.3,symmetric,-0.20827810795576976
6,0.6,0.01,-0.19020250447809375
6,0.6,0.3,-0.1878477074238896
6,0.6,0.6,-0.19992988311533022
6,0.6,1,-0.19965169196064148
6,0.6,symmetric,-0.21862992794211955
6,1,0.01,-0.20791425998353652
6,1,0.3,-0.18062572009627229
6,1,0.6,-0.2187905959654893
6,1,1,-0.22141944719559348
6,1,symmetric,-0.2224314660287152
6,symmetric,0.01,-0.15339695115399746
