num_topics,alpha,beta,u_mass,c_v
6,0.6,1,-1.9303144196943915,0.2947133396064882
6,0.6,symmetric,-1.8059025064003533,0.26227243997564403
6,1,0.01,-1.8821985726044863,0.2684828398092988
6,1,0.3,-1.9449215472643375,0.27789741779757615
6,1,0.6,-1.8776634597305693,0.29911790543142125
6,1,1,-2.203401106123302,0.3069102774320386
6,1,symmetric,-1.9382428608942863,0.2760730766570451
6,symmetric,0.01,-1.7855528894244925,0.2730224284185283
6,symmetric,0.3,-1.711888752723489,0.2506589478555216
6,symmetric,0.6,-1.8017623162751393,0.26214692470861206
6,symmetric,1,-1.7573608073157336,0.26931657883886345
6,symmetric,symmetric,-1.7447421246261101,0.25617336585353684
6,asymmetric,0.01,-1.7659471839868957,0.30459458847125304
6,asymmetric,0.3,-1.66488645460202,0.2969660747458342
6,asymmetric,0.6,-1.7047397535377895,0.2799631203094017
6,asymmetric,1,-1.8542037546061276,0.3116158030283483
6,asymmetric,symmetric,-1.713190095825274,0.26785467887383246
7,0.01,0.01,-1.7861846368153589,0.28424845991828057
7,0.01,0.3,-2.032980995430198,0.25915434128361664
7,0.01,0.6,-1.836122386462765,0.25526481335708046
7,0.01,1,-1.7430052402597727,0.26389262058485613
7,0.01,symmetric,-2.0741812056376685,0.270040326213757
7,0.3,0.01,-2.0063308097407195,0.2655567906345578
7,0.3,0.3,-1.9951051248602114,0.2672983315723146
7,0.3,0.6,-2.043906769033656,0.25973329284664015
7,0.3,1,-2.0860603970604044,0.23317385263235374
7,0.3,symmetric,-2.2080311387633333,0.27424103262687743
7,0.6,0.01,-1.9726099988114392,0.27961070950762434
7,0.6,0.3,-2.135260693539722,0.27266982367241166
7,0.6,0.6,-2.0655295646938163,0.2743545884468169
7,0.6,1,-2.130680654989346,0.27767024606983065
7,0.6,symmetric,-2.1388864087693187,0.28184910083156217
7,1,0.01,-1.91362624415246,0.2696987391824428
7,1,0.3,-2.0641386712029743,0.29235719142488664
7,1,0.6,-2.0631599481223373,0.2986301722239135
7,1,1,-2.2994405006664214,0.2925443923196186
7,1,symmetric,-2.0530106885815433,0.2683041524587153
7,symmetric,0.01,-1.8781572475582817,0.2721324715470335
7,symmetric,0.3,-1.9166709347800588,0.2590864513836544
7,symmetric,0.6,-1.9139163050898813,0.2548460287361456
7,symmetric,1,-1.9561851811005684,0.2446660796284659
7,symmetric,symmetric,-1.823924764028757,0.26983500211761646
7,asymmetric,0.01,-2.0588563068687233,0.28666272946969634
7,asymmetric,0.3,-1.9905344029356793,0.2576809182339807
7,asymmetric,0.6,-1.8089633876364533,0.2858777803075661
7,asymmetric,1,-1.9692553227584988,0.3040106647927093
7,asymmetric,symmetric,-1.9197877085414576,0.24685089135642158
8,0.01,0.01,-1.9374307260054475,0.23940640654469617
8,0.01,0.3,-2.1150547650622684,0.24016082240571837
8,0.01,0.6,-2.178395286430943,0.24391983019474364
8,0.01,1,-2.2807222684917,0.2309149949910131
8,0.01,symmetric,-2.184282927311595,0.2509421528175862
8,0.3,0.01,-1.9923066859898206,0.2669946968517456
8,0.3,0.3,-2.1189181326640405,0.24979348011268898
8,0.3,0.6,-2.3264562315657433,0.24355193096578548
8,0.3,1,-2.1941386128553972,0.25574330928252464
8,0.3,symmetric,-1.9854791744132427,0.2466018528554994
8,0.6,0.01,-2.22756517023349,0.26358666556362187
8,0.6,0.3,-2.1902296970083475,0.25660161522910435
8,0.6,0.6,-2.2007968053088343,0.26422758608152813
8,0.6,1,-2.367832090775935,0.2659865603647035
8,0.6,symmetric,-2.120318889148273,0.25052823034685123
8,1,0.01,-2.1779918996470395,0.27557769494907747
8,1,0.3,-2.3128483958286954,0.2685110948226076
8,1,0.6,-2.3704069399400023,0.28240930694211375
8,1,1,-2.1453464962932216,0.2931115863000009
8,1,symmetric,-2.1702069751358164,0.26538007095234883
8,symmetric,0.01,-2.144098595797583,0.2718699808408793
8,symmetric,0.3,-2.177437195582838,0.24532333144469978
8,symmetric,0.6,-2.106180831972541,0.25122419821341413
8,symmetric,1,-2.067089990528512,0.26238155843900346
8,symmetric,symmetric,-2.0585028549733835,0.2518507233377588
8,asymmetric,0.01,-1.958004354010709,0.25754413392306413
8,asymmetric,0.3,-2.0637051439223075,0.24259921735531276
8,asymmetric,0.6,-2.209191734786786,0.26520610589923765
8,asymmetric,1,-2.57881842721556,0.271313571899164
8,asymmetric,symmetric,-1.9881168979544956,0.2508989663855501
9,0.01,0.01,-2.196459381070078,0.26764241871818806
9,0.01,0.3,-1.8423472067194524,0.2667514530302241
9,0.01,0.6,-2.0062755900164437,0.2569507751329833
9,0.01,1,-2.1450608264641415,0.2704720274331664
9,0.01,symmetric,-2.055095828793375,0.26370597966952797
9,0.3,0.01,-2.1288707770418545,0.25473491705943174
9,0.3,0.3,-2.424916262692407,0.25596302311256974
9,0.3,0.6,-2.333114992198382,0.28722325652442454
9,0.3,1,-2.182166515873082,0.308658402493285
9,0.3,symmetric,-2.3202389345021444,0.26462479326584565
9,0.6,0.01,-2.557303497055871,0.25650066977352926
9,0.6,0.3,-2.795763386929372,0.2628003657686861
9,0.6,0.6,-3.11154662012969,0.28245218381105036
9,0.6,1,-3.8615100084961846,0.30499111563105985
9,0.6,symmetric,-2.571977687616383,0.2577290521422282
9,1,0.01,-2.474395147169847,0.26769467364255156
9,1,0.3,-3.074647236236008,0.28046317321657743
9,1,0.6,-3.6165016330067967,0.30976704394719734
9,1,1,-3.2483622796460474,0.3548305388501377
9,1,symmetric,-2.59764124092327,0.2704789989464588
9,symmetric,0.01,-2.1497045220796402,0.2591325280002357
9,symmetric,0.3,-2.0550380182517713,0.27607397144587437
9,symmetric,0.6,-1.9912665000811431,0.2784101252574084
9,symmetric,1,-2.258630095541911,0.26291112901554786
9,symmetric,symmetric,-2.0046610088586205,0.2633422535080146
9,asymmetric,0.01,-1.9148674420540404,0.2625437980274946
9,asymmetric,0.3,-2.1521456705705004,0.2682667976466949
9,asymmetric,0.6,-2.423347604621379,0.269091470425178
9,asymmetric,1,-2.4933870773017475,0.31826530455859964
9,asymmetric,symmetric,-1.9877745259079975,0.2553823356290736
10,0.01,0.01,-2.228025563108589,0.25462184600386073
10,0.01,0.3,-2.359976000291383,0.28154784934598276
10,0.01,0.6,-2.654920732425266,0.2788362563397103
10,0.01,1,-2.29403536336698,0.2679893646551863
10,0.01,symmetric,-2.227315027485865,0.2712568103796518
10,0.3,0.01,-2.1695977844155254,0.2651647386268616
10,0.3,0.3,-2.1958786477127505,0.2741982896463054
10,0.3,0.6,-2.39981373039563,0.30013503664319796
10,0.3,1,-2.4420103170112863,0.3047056457292018
10,0.3,symmetric,-2.4166795072345257,0.2688692865536641
10,0.6,0.01,-2.3200124156257025,0.2902403028610579
10,0.6,0.3,-2.61463358947777,0.30224422813231366
10,0.6,0.6,-3.267500825942792,0.28437039079712895
10,0.6,1,-4.093006137293058,0.3228599304518685
10,0.6,symmetric,-2.4573897358808328,0.29793290435342723
10,1,0.01,-2.3346285744547286,0.29178745632179137
10,1,0.3,-2.7211425493558297,0.3112145629856308
10,1,0.6,-3.7383574546735714,0.3434425776753546
10,1,1,-2.4192709147238185,0.35064058030518974
10,1,symmetric,-2.4931881139845995,0.3016750786737671
10,symmetric,0.01,-2.186460529573545,0.266463831852792
10,symmetric,0.3,-2.2259228019845234,0.2944451782119438
10,symmetric,0.6,-2.4533226644226174,0.28602276682239114
10,symmetric,1,-2.495966034817772,0.27547898505563595
10,symmetric,symmetric,-2.4032181339463916,0.265075128655104
10,asymmetric,0.01,-2.1184841793864453,0.3108748813972272
10,asymmetric,0.3,-2.0118280473273407,0.29351095695559704
10,asymmetric,0.6,-2.494593887408759,0.30534001966382596
10,asymmetric,1,-2.353362786581724,0.32135614219535225
10,asymmetric,symmetric,-2.0691289884605824,0.2931044129519873
11,0.01,0.01,-2.272325294157538,0.29291408599176444
11,0.01,0.3,-2.45565779479144,0.26577341700927487
11,0.01,0.6,-2.6660522976659298,0.281784474842155
11,0.01,1,-2.9024071481176907,0.28236385924352936
11,0.01,symmetric,-2.356187706225685,0.26785714998279325
11,0.3,0.01,-2.381290106835075,0.2651645988839405
11,0.3,0.3,-2.4197142433298873,0.27000998269356125
11,0.3,0.6,-2.5629566826500465,0.28924683059760303
11,0.3,1,-3.2393479320514094,0.3138589312485467
11,0.3,symmetric,-2.3205615652174876,0.26893267618660427
