num_topics,alpha,beta,u_mass,c_v
7,symmetric,0.01,-1.6933261167527132,0.2600812725867056
7,symmetric,0.3,-1.5627388936832918,0.25804534728880346
7,symmetric,1,-1.8528294404994803,0.2561919106342337
7,symmetric,symmetric,-1.6428905764993211,0.2755156004244876
7,asymmetric,0.01,-1.8678228618236414,0.2606442673797334
7,asymmetric,0.3,-1.8093181273759147,0.2546383066103776
7,asymmetric,1,-2.0005651640129245,0.24711682994723963
7,asymmetric,symmetric,-3.1047658156723363,0.30765263477591726
8,0.01,0.01,-1.953651502783309,0.2879585835347096
8,0.01,0.3,-1.92041585106095,0.25333956610978714
8,0.01,1,-1.92041585106095,0.25333956610978714
8,0.01,symmetric,-1.92041585106095,0.25333956610978714
8,0.3,0.01,-1.825174963267696,0.2934748729374726
8,0.3,0.3,-1.9721074338906033,0.2671958459477477
8,0.3,1,-3.302524978101702,0.30692920854299616
8,0.3,symmetric,-2.0868407234187436,0.28106480908848963
8,1,0.01,-1.9110185407218367,0.32053785502252785
8,1,0.3,-2.053665365713365,0.3020304078624805
8,1,1,-3.6339070843317343,0.3510009596422418
8,1,symmetric,-1.865207248139178,0.31428748919099586
8,symmetric,0.01,-1.6995499420433497,0.29524037862579167
8,symmetric,0.3,-2.0179634113957627,0.25301446566799457
8,symmetric,1,-2.0479264875381347,0.2606336191520463
8,symmetric,symmetric,-2.0353690000800055,0.2880535770962821
8,asymmetric,0.01,-2.5572638515649215,0.30032401598154873
8,asymmetric,0.3,-3.173192077998388,0.3065252416384474
8,asymmetric,1,-2.343944298904267,0.2773350276553406
8,asymmetric,symmetric,-2.1862189405050616,0.283791937599564
9,0.01,0.01,-2.2352871994471273,0.28003474949766693
9,0.01,0.3,-1.8715699127293384,0.2543975269209716
9,0.01,1,-1.8715699127293384,0.2543975269209716
9,0.01,symmetric,-1.8715699127293384,0.2543975269209716
9,0.3,0.01,-1.8728199139057713,0.2673127603080773
9,0.3,0.3,-1.9298939590216024,0.26564464708510344
9,0.3,1,-2.4043535409780232,0.3084597537687211
9,0.3,symmetric,-1.8670759089409685,0.2563972777742642
9,1,0.01,-2.2492471591386076,0.30232944804454726
9,1,0.3,-2.660499416075677,0.32495227768909424
9,1,1,-4.685811128647458,0.3698883416354839
9,1,symmetric,-2.221592871057673,0.3129685115576082
9,symmetric,0.01,-2.012364404905918,0.29518064505812097
9,symmetric,0.3,-2.0026030494910483,0.26303933795488604
9,symmetric,1,-2.0019073862940457,0.26303933795488604
9,symmetric,symmetric,-2.065436466215063,0.27003297879791943
9,asymmetric,0.01,-2.2763892754176287,0.2781183282410739
9,asymmetric,0.3,-2.2056999553977708,0.2824099084472589
9,asymmetric,1,-2.285187396010468,0.2592495136841757
9,asymmetric,symmetric,-2.1854017115126156,0.2629013439064207
10,0.01,0.01,-2.023915733427498,0.2898780666514287
10,0.01,0.3,-1.85114286198224,0.262293467421214
10,0.01,1,-1.85114286198224,0.262293467421214
10,0.01,symmetric,-1.85114286198224,0.262293467421214
10,0.3,0.01,-2.008766661758184,0.27843518904575393
10,0.3,0.3,-2.021315981789462,0.2641323781230291
10,0.3,1,-4.278306955655567,0.3387387808420884
10,0.3,symmetric,-2.0373842738715853,0.25523707920521865
10,1,0.01,-2.1033042235255945,0.29871072211822314
10,1,0.3,-2.9686347130037056,0.31477729956477146
10,1,1,-6.8615530246505285,0.4317172235092003
10,1,symmetric,-2.024583156715065,0.3142508184412826
10,symmetric,0.01,-2.2248712342805517,0.29222050655895165
10,symmetric,0.3,-1.9567872893047173,0.2755023550408485
10,symmetric,1,-1.9561933602248132,0.2755023550408485
10,symmetric,symmetric,-2.09605148252407,0.3037087578036095
10,asymmetric,0.01,-2.139844561364292,0.2947094735097825
10,asymmetric,0.3,-2.454408199313959,0.2791291598567116
