num_topics,alpha,beta,u_mass,c_v
3,asymmetric,1,-5.648599824884999,0.28528765608073947
3,asymmetric,symmetric,-2.309036676629983,0.24817854205046927
4,0.01,0.01,-1.7978188476716874,0.2278415339670382
4,0.01,0.3,-2.255360002212216,0.2881239094214568
4,0.01,1,-2.253121454042929,0.2881239094214568
4,0.01,symmetric,-2.255360002212216,0.2881239094214568
4,0.3,0.01,-1.9772392685660012,0.29034544135572815
4,0.3,0.3,-1.984349346808945,0.27638311045798974
4,0.3,1,-1.8214125625771318,0.26780640386459315
4,0.3,symmetric,-1.9761573881914865,0.28979349435269797
4,1,0.01,-2.2907392178779773,0.3142300311013919
4,1,0.3,-1.9323409039035906,0.3016913841493766
4,1,1,-2.034366691409988,0.2664398965977775
4,1,symmetric,-1.9590003911113218,0.28830118028436164
4,symmetric,0.01,-2.05881082201844,0.24901074083244742
4,symmetric,0.3,-2.1498117204857965,0.24897510933022732
4,symmetric,1,-2.292431909208903,0.26047693369135844
4,symmetric,symmetric,-2.112033343807626,0.25175051534055926
4,asymmetric,0.01,-3.6053057437725364,0.2597628156456726
4,asymmetric,0.3,-4.310873634511452,0.28361523389832044
4,asymmetric,1,-6.409493349531554,0.3665469017190587
4,asymmetric,symmetric,-4.525481153290744,0.2954658229528045
5,0.01,0.01,-1.9833073263642405,0.2378680096497075
5,0.01,0.3,-2.065580908804674,0.2711088285237331
5,0.01,1,-2.008515647928248,0.2615892995529432
5,0.01,symmetric,-2.066118619987585,0.2711088285237331
5,0.3,0.01,-2.2681812595691846,0.27320971955155704
5,0.3,0.3,-2.3000803849246667,0.2770329133289263
5,0.3,1,-2.305622362200125,0.26481206510660027
5,0.3,symmetric,-2.422303291521536,0.2756280807626737
5,1,0.01,-2.3573347076354567,0.3210713915524052
5,1,0.3,-1.976606174622678,0.32423547199521197
5,1,1,-2.647823609301131,0.2889792388748156
5,1,symmetric,-2.1464507825231567,0.3211860278839419
5,symmetric,0.01,-2.1127612164524656,0.24564778846201302
5,symmetric,0.3,-1.956277177637375,0.24306853507520473
5,symmetric,1,-1.9739704812775476,0.25706621662549645
5,symmetric,symmetric,-2.134280769994729,0.27239081688144096
5,asymmetric,0.01,-3.1996848746760795,0.2892080441081898
5,asymmetric,0.3,-2.9317416694321126,0.2440025350411351
5,asymmetric,1,-4.401924304222534,0.3004852722206478
5,asymmetric,symmetric,-3.2896479549703415,0.25951347275284087
6,0.01,0.01,-2.542311939564176,0.2694743621594929
6,0.01,0.3,-2.736634305784482,0.27455270424364125
6,0.01,1,-2.672137525566025,0.2763931573046294
6,0.01,symmetric,-3.183855129914356,0.269998154396074
6,0.3,0.01,-2.2878940697893344,0.2952515218238127
6,0.3,0.3,-2.2890780050101016,0.28218337672588
6,0.3,1,-3.6509433708676533,0.29750072256493904
6,0.3,symmetric,-2.392072753280817,0.28093371323894106
6,1,0.01,-2.5931443317356107,0.32338202734335086
6,1,0.3,-2.527043945412266,0.3136423048293657
6,1,1,-3.2738857235796472,0.27441972152831007
6,1,symmetric,-2.51113336562712,0.3107356101554562
6,symmetric,0.01,-2.0776343295783644,0.2706800720709237
6,symmetric,0.3,-2.1932090397065522,0.28359195878025817
6,symmetric,1,-3.2684981642987165,0.2894706596655772
6,symmetric,symmetric,-2.346805917727941,0.27233283068074715
6,asymmetric,0.01,-3.697326615134731,0.3027278326488201
6,asymmetric,0.3,-3.229117245300037,0.3062982690105444
6,asymmetric,1,-5.205214640671762,0.3364187456395847
6,asymmetric,symmetric,-3.2848358151848775,0.28889382808839764
7,0.01,0.01,-2.8167811139739434,0.2702874084242892
7,0.01,0.3,-2.8441207887591937,0.29634985520140783
7,0.01,1,-2.6873214700452137,0.29250005835913695
7,0.01,symmetric,-3.238756112748727,0.2904145603812352
7,0.3,0.01,-2.8492737565101445,0.2647621562133366
7,0.3,0.3,-2.5921348995522284,0.25444542927655556
7,0.3,1,-3.747527959421499,0.2970097986329838
7,0.3,symmetric,-2.7029165861993683,0.26756280878723987
7,1,0.01,-2.7562707054820126,0.3081215275578347
7,1,0.3,-3.1358370545179723,0.30389231485605755
7,1,1,-4.38152623579179,0.2925922192049533
7,1,symmetric,-2.95738869823962,0.30015396496540603
7,symmetric,0.01,-2.270482448212747,0.28519407262539725
7,symmetric,0.3,-2.4697709093506757,0.2650840941057286
7,symmetric,1,-2.7927889213665185,0.27338668031624624
7,symmetric,symmetric,-2.2445635041483656,0.27962560757393584
7,asymmetric,0.01,-3.437768584583562,0.2778231561079778
7,asymmetric,0.3,-3.5405915411733604,0.25797290428815917
7,asymmetric,1,-4.060280300995754,0.30006667644135365
7,asymmetric,symmetric,-4.174148593032528,0.27465716410486113
8,0.01,0.01,-3.0962713781225353,0.2789134704227977
8,0.01,0.3,-2.3570598456599994,0.28602464601694105
8,0.01,1,-2.352751005876622,0.28602464601694105
8,0.01,symmetric,-2.8790422620025895,0.2848849660744842
8,0.3,0.01,-2.4733561437801552,0.27871457361919716
8,0.3,0.3,-3.2284443364886934,0.3241739618988654
8,0.3,1,-4.517175676089767,0.3406325985170764
8,0.3,symmetric,-2.656661813651577,0.2895537883976397
8,1,0.01,-3.1135905141538953,0.2848463589155442
8,1,0.3,-2.945419608879727,0.3198457687805284
8,1,1,-4.319009852685957,0.3332525485457095
8,1,symmetric,-3.049569541909911,0.280093747977173
8,symmetric,0.01,-2.8456783463386337,0.28256066144039
8,symmetric,0.3,-3.222874073046513,0.2903429630816252
8,symmetric,1,-2.535045727126745,0.28827660566217045
8,symmetric,symmetric,-2.9474281220337017,0.29349768261785775
8,asymmetric,0.01,-2.8718714453618506,0.28777904534142246
8,asymmetric,0.3,-3.9604226555997797,0.29634458641984923
8,asymmetric,1,-5.1485833937577405,0.36772495217020373
8,asymmetric,symmetric,-3.836817938494055,0.29766591177312274
9,0.01,0.01,-3.282244323492642,0.2570508975298798
9,0.01,0.3,-2.684625944552785,0.2824134653606154
9,0.01,1,-2.652897489469564,0.28158643221554563
9,0.01,symmetric,-3.234346571373156,0.2940300630195807
9,0.3,0.01,-3.291561506287292,0.2776112884303354
9,0.3,0.3,-3.7028123572773515,0.3324329352603717
9,0.3,1,-4.694715207814874,0.3382975398323514
9,0.3,symmetric,-3.245332815517742,0.29709697078657965
9,1,0.01,-2.91919164866035,0.30427274673144894
9,1,0.3,-2.530844048803753,0.3180044836981774
