num_topics,alpha,beta,u_mass
8,0.3,0.3,-1.5118408960533576
8,0.3,0.6,-0.6879010284561495
8,0.3,1,-0.6365935390427183
8,0.3,symmetric,-0.8318083332481448
8,0.6,0.01,-0.8560181902090124
8,0.6,0.3,-1.043038621333505
8,0.6,0.6,-1.7883734864636558
8,0.6,1,-1.6910921605114573
8,0.6,symmetric,-0.8716178111116113
8,1,0.01,-1.184919623327451
8,1,0.3,-1.6347489940217441
8,1,0.6,-4.5112738539248545
8,1,1,-4.589419969013023
8,1,symmetric,-2.0361548151862827
8,symmetric,0.01,-0.7461958327718268
8,symmetric,0.3,-0.7741976050059765
8,symmetric,0.6,-0.902312470811487
8,symmetric,1,-0.876134435142206
8,symmetric,symmetric,-0.760316586879354
8,asymmetric,0.01,-1.004540971467502
8,asymmetric,0.3,-0.7341655242005802
8,asymmetric,0.6,-0.6837538048274179
8,asymmetric,1,-0.6292212312913215
8,asymmetric,symmetric,-1.0139922133366972
9,0.01,0.01,-0.6344441556679161
9,0.01,0.3,-0.9000167207547976
9,0.01,0.6,-0.8631277552897725
9,0.01,1,-0.7324609750364428
9,0.01,symmetric,-0.648522971655377
9,0.3,0.01,-0.8258995526210936
9,0.3,0.3,-0.7816223294337391
9,0.3,0.6,-0.7412710038786028
9,0.3,1,-0.6559346468063345
9,0.3,symmetric,-0.7964407323883222
9,0.6,0.01,-0.8119802529893977
9,0.6,0.3,-0.7702107633222265
9,0.6,0.6,-1.3440851086084924
9,0.6,1,-1.8111687841990252
9,0.6,symmetric,-0.8811648228209943
9,1,0.01,-1.3402264507280603
9,1,0.3,-2.472947180048751
9,1,0.6,-4.43224334269144
9,1,1,-3.4657933381497035
9,1,symmetric,-2.0616957192047156
9,symmetric,0.01,-0.7208558416206401
9,symmetric,0.3,-1.0733264059679577
9,symmetric,0.6,-0.7970021866724424
9,symmetric,1,-0.8267697008825274
9,symmetric,symmetric,-0.7176431540531606
9,asymmetric,0.01,-0.8966471751114214
9,asymmetric,0.3,-0.7400553597358002
9,asymmetric,0.6,-1.3634465180022142
9,asymmetric,1,-0.9613763333957451
9,asymmetric,symmetric,-0.6580523164363997
10,0.01,0.01,-1.4594082283528795
10,0.01,0.3,-1.6198590845277097
10,0.01,0.6,-1.6022772596923418
10,0.01,1,-1.5750583870701544
10,0.01,symmetric,-1.9080697190810345
10,0.3,0.01,-0.807818827157973
10,0.3,0.3,-0.8808640449305217
10,0.3,0.6,-1.633851782946381
10,0.3,1,-1.5197289697676624
10,0.3,symmetric,-0.857253043730519
10,0.6,0.01,-0.7821768703574958
10,0.6,0.3,-0.6994345208761586
10,0.6,0.6,-0.8772472892242851
10,0.6,1,-1.4939359698892205
10,0.6,symmetric,-0.6586452991951101
10,1,0.01,-0.7726592824744107
10,1,0.3,-1.5126247516004545
10,1,0.6,-2.693836069845651
10,1,1,-4.5541772976264125
10,1,symmetric,-1.0568455626582465
10,symmetric,0.01,-0.7938974034812749
