num_topics,alpha,beta,coherence
5,symmetric,0.6,-2.271594486172302
5,symmetric,1,-3.3168596261077545
5,symmetric,symmetric,-2.243385548423332
5,asymmetric,0.01,-2.2158407966479787
5,asymmetric,0.3,-4.702522766841144
5,asymmetric,0.6,-8.85395263263606
5,asymmetric,1,-5.2314685848032765
5,asymmetric,symmetric,-5.046037742740613
6,0.01,0.01,-2.491970641076184
6,0.01,0.3,-2.2711635726239634
6,0.01,0.6,-2.2954909669969097
6,0.01,1,-2.4589351723864494
6,0.01,symmetric,-1.985178430904787
6,0.3,0.01,-2.623763752026378
6,0.3,0.3,-2.167860424414781
6,0.3,0.6,-2.1364857394670445
6,0.3,1,-2.0643432951132183
6,0.3,symmetric,-2.6150687931047223
6,0.6,0.01,-2.7608094504499987
6,0.6,0.3,-2.4937686633869536
6,0.6,0.6,-2.245249583286411
6,0.6,1,-2.3470016474132325
6,0.6,symmetric,-2.36877832374453
6,1,0.01,-2.5867913549325627
6,1,0.3,-2.133567639366065
6,1,0.6,-2.397756001162392
6,1,1,-2.121011655561363
6,1,symmetric,-2.436948254918914
6,symmetric,0.01,-2.1785542084963887
6,symmetric,0.3,-2.2362396208175905
6,symmetric,0.6,-2.143177652503558
6,symmetric,1,-1.9653652851755465
6,symmetric,symmetric,-1.9698635815413852
6,asymmetric,0.01,-2.635376636709857
6,asymmetric,0.3,-9.99390544290686
6,asymmetric,0.6,-7.156259226579871
6,asymmetric,1,-6.729602785234769
6,asymmetric,symmetric,-4.337625801314083
