num_topics,alpha,beta,coherence
7,0.6,1,-2.80893182847007
7,0.6,symmetric,-2.630957841796721
7,1,0.01,-1.8445174079864493
7,1,0.3,-4.021746738150859
7,1,0.6,-1.6552087007542322
7,1,1,-2.453186879376795
7,1,symmetric,-1.8317334359970445
7,symmetric,0.01,-2.4219046716300054
7,symmetric,0.3,-4.122332467664029
7,symmetric,0.6,-1.72999121620877
7,symmetric,1,-3.1828242035547567
7,symmetric,symmetric,-3.97916977209346
7,asymmetric,0.01,-2.3171708049155213
7,asymmetric,0.3,-8.43211731265637
7,asymmetric,0.6,-6.483662400097797
7,asymmetric,1,-8.41196423199722
7,asymmetric,symmetric,-9.007831918863108
8,0.01,0.01,-2.03944959140217
8,0.01,0.3,-1.5494027426952814
8,0.01,0.6,-2.242518388616761
8,0.01,1,-1.7129567497387737
8,0.01,symmetric,-1.6837349908859998
8,0.3,0.01,-1.6591320137846703
8,0.3,0.3,-1.8633543855886878
8,0.3,0.6,-3.8420391833658147
8,0.3,1,-2.2194212854209017
8,0.3,symmetric,-2.1353025937957613
8,0.6,0.01,-1.7791064783390769
8,0.6,0.3,-3.0634581149806075
8,0.6,0.6,-2.576023801329052
8,0.6,1,-2.1745323520266444
8,0.6,symmetric,-2.8585928693984783
8,1,0.01,-1.8898867355560205
8,1,0.3,-2.4847140281795888
8,1,0.6,-2.487697577481828
8,1,1,-2.8728984407114058
8,1,symmetric,-1.9276382449948344
8,symmetric,0.01,-2.2315968144791865
8,symmetric,0.3,-2.177434390938757
8,symmetric,0.6,-4.015218219841012
8,symmetric,1,-2.203498479510663
8,symmetric,symmetric,-2.0108281159493107
8,asymmetric,0.01,-2.4879727970064898
8,asymmetric,0.3,-10.484322141688232
8,asymmetric,0.6,-8.914128273904517
8,asymmetric,1,-7.8603029393100545
8,asymmetric,symmetric,-6.065740169975884
9,0.01,0.01,-2.064850579151619
9,0.01,0.3,-1.739272269439014
9,0.01,0.6,-1.8210894736455776
9,0.01,1,-1.6961385667039302
9,0.01,symmetric,-1.9764578192803768
9,0.3,0.01,-2.383531812429407
9,0.3,0.3,-1.6929934100634378
9,0.3,0.6,-2.9396221540565763
9,0.3,1,-3.8885905403483565
9,0.3,symmetric,-2.2049426776311187
9,0.6,0.01,-1.9059973518927589
9,0.6,0.3,-1.8918764470953089
9,0.6,0.6,-2.611546576737464
9,0.6,1,-5.346410746579459
9,0.6,symmetric,-1.7787018570374704
9,1,0.01,-1.851135459744948
9,1,0.3,-2.8169648225032526
9,1,0.6,-4.2848168840755845
9,1,1,-2.886291203960396
9,1,symmetric,-1.9642531643069556
9,symmetric,0.01,-2.8283838077115
9,symmetric,0.3,-4.276561601033247
9,symmetric,0.6,-3.3204750662642137
9,symmetric,1,-2.486547651827102
9,symmetric,symmetric,-1.8900087194907387
9,asymmetric,0.01,-2.7962380933538507
9,asymmetric,0.3,-9.736858219105883
9,asymmetric,0.6,-10.91887119847269
9,asymmetric,1,-8.641170169259366
9,asymmetric,symmetric,-2.466314400401473
10,0.01,0.01,-2.623597357099944
10,0.01,0.3,-2.0204993019216397
10,0.01,0.6,-2.0354121915651797
10,0.01,1,-2.027459055039932
10,0.01,symmetric,-2.3519010961016438
10,0.3,0.01,-1.8960730277982598
10,0.3,0.3,-1.860547813019211
10,0.3,0.6,-2.811813040220189
10,0.3,1,-2.087384849685251
10,0.3,symmetric,-2.246394711690827
10,0.6,0.01,-2.1463782580613704
10,0.6,0.3,-2.683098458851527
10,0.6,0.6,-2.1420676414390387
10,0.6,1,-2.944116128599728
10,0.6,symmetric,-2.033589634564002
10,1,0.01,-1.8584692874742015
10,1,0.3,-2.645298079246711
10,1,0.6,-3.287367713006234
10,1,1,-4.598199050815284
10,1,symmetric,-1.7772146628289636
10,symmetric,0.01,-2.3006408539762315
10,symmetric,0.3,-4.630749166744039
10,symmetric,0.6,-3.114164059753464
10,symmetric,1,-2.3535524923068296
10,symmetric,symmetric,-3.1575342953269834
10,asymmetric,0.01,-2.4515987741031715
10,asymmetric,0.3,-8.484889858950055
10,asymmetric,0.6,-7.6179790960096225
10,asymmetric,1,-8.134811859755697
10,asymmetric,symmetric,-7.3950236604067285
