num_topics,alpha,beta,coherence
4,0.01,0.6,-1.7454002224727234
4,0.01,1,-1.9494879838051464
4,0.01,symmetric,-1.5325945853827885
4,0.3,0.01,-1.6513396366459343
4,0.3,0.3,-1.398615049446383
4,0.3,0.6,-1.7077471496986405
4,0.3,1,-1.4629231977715034
4,0.3,symmetric,-1.636960060861947
4,0.6,0.01,-2.063579032030348
4,0.6,0.3,-1.4690120845705645
4,0.6,0.6,-1.6035318053604968
4,0.6,1,-1.5563266541754954
4,0.6,symmetric,-1.578139309447662
4,1,0.01,-1.5943763012433463
4,1,0.3,-1.5084402740723148
4,1,0.6,-1.459746083199158
4,1,1,-1.5829953519038686
4,1,symmetric,-1.7253049967202456
4,symmetric,0.01,-1.6980798077225407
4,symmetric,0.3,-1.8672031798324873
4,symmetric,0.6,-1.6970700503933005
4,symmetric,1,-1.6905408767712293
4,symmetric,symmetric,-2.4376184188177397
4,asymmetric,0.01,-1.532570895161835
4,asymmetric,0.3,-2.217791969051753
4,asymmetric,0.6,-4.568355990280945
4,asymmetric,1,-1.792259693568338
4,asymmetric,symmetric,-2.5636203910818747
5,0.01,0.01,-2.413376900309074
5,0.01,0.3,-1.9567395355680035
5,0.01,0.6,-1.6639447778984908
5,0.01,1,-1.968184152818153
5,0.01,symmetric,-1.6395025396133118
5,0.3,0.01,-1.6465089780830957
5,0.3,0.3,-1.8732561354394448
5,0.3,0.6,-1.9594746955361675
5,0.3,1,-1.9347858239123936
5,0.3,symmetric,-1.643449421892035
5,0.6,0.01,-2.121997593219475
5,0.6,0.3,-1.9401923237596068
5,0.6,0.6,-2.2541637793599563
5,0.6,1,-2.1041903608985977
5,0.6,symmetric,-2.3960394512561702
5,1,0.01,-2.3232912492343387
5,1,0.3,-1.9349764717740041
5,1,0.6,-1.675609720683004
5,1,1,-1.4682461203674397
5,1,symmetric,-1.6173276308408755
5,symmetric,0.01,-1.5353263005651479
5,symmetric,0.3,-1.810971889694286
5,symmetric,0.6,-1.694503938316701
5,symmetric,1,-1.6350738986905462
5,symmetric,symmetric,-1.7618139310151577
5,asymmetric,0.01,-1.8233684152111522
5,asymmetric,0.3,-2.272639213860597
5,asymmetric,0.6,-7.188916130840286
5,asymmetric,1,-4.21964004678987
5,asymmetric,symmetric,-2.480099367498689
6,0.01,0.01,-1.7971739781873912
6,0.01,0.3,-1.6979711362409218
6,0.01,0.6,-1.5901231457280816
6,0.01,1,-1.9247575209522196
6,0.01,symmetric,-2.1612942854162163
6,0.3,0.01,-1.6672924527031345
6,0.3,0.3,-1.702353377680283
6,0.3,0.6,-1.7099689903379207
6,0.3,1,-2.335203499682389
6,0.3,symmetric,-1.9902517448562609
6,0.6,0.01,-1.8575453503732706
6,0.6,0.3,-2.007857055688319
6,0.6,0.6,-1.6455286650112508
6,0.6,1,-2.0490551126580985
6,0.6,symmetric,-1.7781808773880219
6,1,0.01,-1.8771981110534488
6,1,0.3,-2.285220453513882
6,1,0.6,-1.3914565882426573
6,1,1,-1.7903845110668801
6,1,symmetric,-1.720659346765636
6,symmetric,0.01,-1.8259900957738369
6,symmetric,0.3,-1.8725240900372364
6,symmetric,0.6,-2.0580856950846314
6,symmetric,1,-1.7588501311936982
6,symmetric,symmetric,-1.706024278118255
6,asymmetric,0.01,-2.3478154734630405
6,asymmetric,0.3,-2.1860834445930712
6,asymmetric,0.6,-3.9311335927785387
6,asymmetric,1,-3.4047646409337613
6,asymmetric,symmetric,-1.7653386893261847
7,0.01,0.01,-1.7665124258753713
7,0.01,0.3,-2.121976600659027
7,0.01,0.6,-1.8544163150776838
7,0.01,1,-2.099610308162413
7,0.01,symmetric,-1.876388322761683
7,0.3,0.01,-1.7831104916408633
7,0.3,0.3,-1.9834581097243074
7,0.3,0.6,-1.962794901190016
7,0.3,1,-2.9851721149304202
7,0.3,symmetric,-3.0284579948948034
7,0.6,0.01,-1.9289452380878078
7,0.6,0.3,-2.1185989116902113
7,0.6,0.6,-3.6679385785038545
7,0.6,1,-2.104808180732963
7,0.6,symmetric,-1.9770248185537798
7,1,0.01,-1.8381383499848656
