num_topics,alpha,beta,coherence
4,0.6,0.01,-2.5796264077935476
4,0.6,0.3,-2.169817468209411
4,0.6,0.6,-2.2720659565827965
4,0.6,1,-2.2388557603262407
4,0.6,symmetric,-2.1076962879456635
4,1,0.01,-2.380822719902831
4,1,0.3,-1.9592897634870607
4,1,0.6,-2.1652886097161375
4,1,1,-2.0469002499467592
4,1,symmetric,-2.22165037997905
4,symmetric,0.01,-2.7829632141790714
4,symmetric,0.3,-2.5176017986477057
4,symmetric,0.6,-2.357971221001312
4,symmetric,1,-2.5327536380144164
4,symmetric,symmetric,-2.611503845774043
4,asymmetric,0.01,-2.925140360710901
4,asymmetric,0.3,-5.237397830755432
4,asymmetric,0.6,-3.4126871596999377
4,asymmetric,1,-3.4887722359176374
4,asymmetric,symmetric,-2.5177334532796722
5,0.01,0.01,-2.9385653953722404
5,0.01,0.3,-2.907884658368014
5,0.01,0.6,-2.599786840564769
5,0.01,1,-2.464422238910005
5,0.01,symmetric,-2.2596540122168483
5,0.3,0.01,-2.218050271569879
5,0.3,0.3,-3.6771456028282032
5,0.3,0.6,-2.124878177707744
5,0.3,1,-2.697164510796167
5,0.3,symmetric,-2.1259560058982254
5,0.6,0.01,-2.352376558267512
5,0.6,0.3,-1.950544630820157
5,0.6,0.6,-2.117303005655031
5,0.6,1,-2.0326225043811976
5,0.6,symmetric,-3.383738655757759
5,1,0.01,-2.5416874283973807
5,1,0.3,-2.494261509569829
5,1,0.6,-2.091048874095084
5,1,1,-3.7584202572606955
5,1,symmetric,-2.2836657092707036
5,symmetric,0.01,-3.253714402051186
5,symmetric,0.3,-2.560107761930779
5,symmetric,0.6,-2.4916404584754956
5,symmetric,1,-2.5499945354741014
5,symmetric,symmetric,-3.4740070901424955
5,asymmetric,0.01,-3.0847525052649027
5,asymmetric,0.3,-5.992220213846716
5,asymmetric,0.6,-3.674743523917936
5,asymmetric,1,-3.0820623032828784
5,asymmetric,symmetric,-4.769804587051129
6,0.01,0.01,-2.940990417172232
6,0.01,0.3,-2.5271049011416316
6,0.01,0.6,-2.566928592491632
6,0.01,1,-2.5919500319097746
6,0.01,symmetric,-2.7645535287635856
6,0.3,0.01,-2.8407520848132033
6,0.3,0.3,-2.511082831811345
6,0.3,0.6,-2.451976697888591
6,0.3,1,-2.6771817326601535
6,0.3,symmetric,-2.6178912910731085
6,0.6,0.01,-2.3872532285777233
6,0.6,0.3,-2.735773892751652
6,0.6,0.6,-2.322032459692242
6,0.6,1,-2.7075381886722583
6,0.6,symmetric,-2.6016526078043363
6,1,0.01,-3.1201682180352432
6,1,0.3,-2.5368871238665194
6,1,0.6,-2.499022119097551
6,1,1,-2.4631279435859073
6,1,symmetric,-2.848309494449401
6,symmetric,0.01,-2.8668106207244812
6,symmetric,0.3,-2.4943897413826197
6,symmetric,0.6,-2.434952625592569
6,symmetric,1,-3.5639439637009382
6,symmetric,symmetric,-3.3604522693231638
6,asymmetric,0.01,-2.6398712212910564
6,asymmetric,0.3,-4.638061668940927
6,asymmetric,0.6,-4.6584732116240035
6,asymmetric,1,-4.7792796126660555
6,asymmetric,symmetric,-3.8135358583642964
7,0.01,0.01,-2.518061569060131
7,0.01,0.3,-2.541345952424718
7,0.01,0.6,-2.4170663850948584
7,0.01,1,-2.5342885977637546
7,0.01,symmetric,-3.0390320617909237
7,0.3,0.01,-2.482613910692929
7,0.3,0.3,-2.471345211604931
7,0.3,0.6,-2.1680257627835506
7,0.3,1,-2.493961660912778
7,0.3,symmetric,-2.827969844465445
7,0.6,0.01,-3.2594690505105874
7,0.6,0.3,-2.9768606939500373
7,0.6,0.6,-2.6186271448853655
7,0.6,1,-2.180570026305241
7,0.6,symmetric,-2.7754773283501106
7,1,0.01,-2.9318175293622057
7,1,0.3,-2.8671483454319584
7,1,0.6,-2.730435803762352
7,1,1,-2.3830082673502155
7,1,symmetric,-2.5880774710517676
7,symmetric,0.01,-2.7377309560493646
7,symmetric,0.3,-4.589206308296375
7,symmetric,0.6,-4.41762739975493
7,symmetric,1,-3.5949568591548413
